Species, DayOfYear, Time, Lat, Long, Alt, SolRad, PFD, Temp, CO2, RH, Wind, LAI, ConstTemp, sifSunlit, sifShaded,ql_sunlit, ql_shaded, kdf_sunlit, kdf_shaded, PhiPS2_sunlit, PhiPS2_shaded, fesc, ANet, AGross, VPD, LeafTemp, BoundaryL_Conductance, InternalCO2, Respiration, StomatalConduct, Transpiration,J,sunlitPFD,shadedPFD,sunlitLAI,shadedLAI,GammaValue(gamma_C3 or GammaStar_C4), Gamma_C4,Cs_stomatalConductance, ci, AjLeaf,AcLeaf,AvLeaf,ApLeaf,Azimuth, DayLength, Declination, FracPARDiffuse, FracPARDirect, NIR,NIRFraction, NIRTotal, PAR ,SolarNoon, Sunrise, Sunset, SinElevation, SolarElevation,PotSolarDiffuse, PotSolarTotal, PotSolarDirect, MeasuredSolarRad, PARFraction,PFD, PFDDiffuse, PFDDirect, PFDTotal, Zenith, PotParDirect,PotParDiffuse, PotNIRDirect,PotNIRDiffuse
maize,   197.31,     7.00,    41.16,   -96.47,   100.00,   344.75,   682.60,    22.71,   496.20,    85.60,     1.22,     3.50, 0,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,   -0.00,    32.06,    38.35,     0.40,   23.29,     1.69,   331.99,     6.29,     0.32,     1.38,   192.08,   282.73,   295.64,     0.96,    2.54,  182.35,  102.28,  482.59,   331.99,    38.42,   144.36,     0.00,     0.00,    -1.65,    14.86,     0.38,     0.74,     0.26,  190.36,    0.56,  190.36,  148.39,    11.67,     4.24,    19.10,     0.48,     0.50,    85.09,   436.87,   351.78,   338.75,     0.44,  682.60,  506.89,  175.71,  682.60,     1.07,   197.17,     77.45,  250.22,  102.06
maize,   197.35,     8.00,    41.16,   -96.47,   100.00,   521.52,  1032.60,    24.21,   406.20,    73.80,     1.16,     3.50, 0,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,   -0.00,    49.27,    56.03,     0.79,   24.53,     1.65,   237.77,     6.76,     0.49,     3.71,   281.06,   521.29,   370.06,     1.17,    2.33,  205.92,  114.79,  385.95,   237.77,    56.21,   159.86,     0.00,     0.00,    -1.47,    14.86,     0.38,     0.65,     0.35,  277.41,    0.55,  277.41,  224.48,    11.67,     4.24,    19.10,     0.64,     0.70,    91.10,   637.30,   546.21,   501.89,     0.45, 1032.60,  675.89,  356.71, 1032.60,     0.87,   290.27,     79.65,  356.32,  100.82
maize,   197.40,     9.00,    41.16,   -96.47,   100.00,   660.25,  1307.30,    26.13,   381.94,    67.90,     0.98,     3.50, 0,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,   -0.00,    61.50,    68.91,     1.09,   26.15,     1.52,   206.91,     7.41,     0.61,     5.80,   345.96,   730.63,   406.86,     1.30,    2.20,  222.66,  124.67,  355.14,   206.91,    69.19,   182.15,     0.00,     0.00,    -1.26,    14.86,     0.38,     0.59,     0.41,  341.53,    0.55,  341.53,  284.20,    11.67,     4.24,    19.10,     0.78,     0.89,    94.41,   807.83,   713.42,   625.73,     0.45, 1307.30,  771.64,  535.66, 1307.30,     0.68,   368.89,     71.89,  445.62,   84.09
maize,   197.44,    10.00,    41.16,   -96.47,   100.00,   885.66,  1753.60,    27.02,   371.84,    68.60,     1.72,     3.50, 0,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,   -0.00,    76.76,    84.56,     1.12,   27.22,     2.01,   201.62,     7.80,     0.78,     7.73,   426.31,  1205.33,   381.04,     1.38,    2.12,  243.54,  141.50,  344.34,   201.62,    85.26,   195.86,     0.00,     0.00,    -0.95,    14.86,     0.38,     0.39,     0.61,  448.95,    0.54,  448.95,  381.22,    11.67,     4.24,    19.10,     0.88,     1.07,    96.26,   933.47,   837.21,   830.17,     0.46, 1753.60,  686.49, 1067.11, 1753.60,     0.50,   426.62,     60.75,  511.17,   62.80
maize,   197.48,    11.00,    41.16,   -96.47,   100.00,   995.96,  1972.00,    27.97,   360.85,    66.90,     1.58,     3.50, 0,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,   -0.00,    81.66,    89.84,     1.25,   28.12,     1.93,   193.72,     8.18,     0.86,     9.09,   453.88,  1485.98,   331.35,     1.41,    2.09,  250.26,  149.72,  328.77,   193.72,    90.78,   209.58,     0.00,     0.00,    -0.46,    14.86,     0.38,     0.28,     0.72,  499.06,    0.54,  499.06,  428.70,    11.67,     4.24,    19.10,     0.93,     1.20,    97.14,  1004.17,   907.04,   927.76,     0.46, 1972.00,  553.78, 1418.22, 1972.00,     0.37,   459.04,     52.49,  548.01,   47.49
maize,   197.52,    12.00,    41.16,   -96.47,   100.00,   921.36,  1824.30,    29.39,   363.34,    63.50,     1.95,     3.50, 0,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,   -0.00,    80.40,    89.09,     1.49,   29.04,     2.14,   186.21,     8.69,     0.79,     9.71,   448.15,  1250.35,   389.77,     1.42,    2.08,  248.52,  146.25,  336.70,   186.21,    89.63,   228.40,     0.00,     0.00,     0.24,    14.86,     0.38,     0.39,     0.61,  460.89,    0.54,  460.89,  396.59,    11.67,     4.24,    19.10,     0.94,     1.22,    97.26,  1014.50,   917.25,   857.48,     0.46, 1824.30,  715.67, 1108.63, 1824.30,     0.35,   463.78,     51.17,  553.39,   45.06
maize,   197.56,    13.00,    41.16,   -96.47,   100.00,   886.46,  1755.20,    29.75,   355.82,    58.50,     2.12,     3.50, 0,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,   -0.00,    78.22,    87.00,     1.74,   29.13,     2.23,   171.68,     8.79,     0.73,    10.34,   437.45,  1186.93,   391.24,     1.39,    2.11,  245.54,  145.28,  330.76,   171.68,    87.49,   232.04,     0.00,     0.00,     0.82,    14.86,     0.38,     0.41,     0.59,  447.16,    0.54,  447.16,  381.57,    11.67,     4.24,    19.10,     0.90,     1.12,    96.64,   963.68,   867.03,   828.72,     0.46, 1755.20,  717.13, 1038.07, 1755.20,     0.45,   440.48,     57.40,  526.91,   56.55
maize,   197.60,    14.00,    41.16,   -96.47,   100.00,   805.71,  1595.30,    29.54,   353.19,    56.40,     2.42,     3.50, 0,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,   -0.00,    72.64,    81.33,     1.80,   28.87,     2.39,   166.31,     8.69,     0.66,     9.84,   408.67,  1042.61,   390.84,     1.33,    2.17,  237.91,  141.64,  331.03,   166.31,    81.73,   228.31,     0.00,     0.00,     1.17,    14.86,     0.38,     0.45,     0.55,  413.59,    0.54,  413.59,  346.80,    11.67,     4.24,    19.10,     0.82,     0.95,    95.16,   855.58,   760.42,   760.39,     0.46, 1595.30,  711.44,  883.86, 1595.30,     0.62,   390.85,     68.19,  470.55,   76.89
maize,   197.65,    15.00,    41.16,   -96.47,   100.00,   749.39,  1483.80,    29.81,   356.32,    55.20,     2.27,     3.50, 0,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,   -0.00,    67.36,    76.18,     1.88,   29.10,     2.31,   170.68,     8.82,     0.60,     9.37,   382.93,  1020.23,   346.40,     1.22,    2.28,  230.68,  144.45,  332.43,   170.68,    76.59,   233.16,     0.00,     0.00,     1.41,    14.86,     0.38,     0.40,     0.60,  394.57,    0.55,  394.57,  322.57,    11.67,     4.24,    19.10,     0.69,     0.76,    92.43,   698.71,   606.28,   717.13,     0.45, 1483.80,  586.96,  896.84, 1483.80,     0.81,   318.62,     77.84,  388.54,   96.42
maize,   197.69,    16.00,    41.16,   -96.47,   100.00,   576.01,  1140.50,    29.13,   356.15,    55.80,     1.83,     3.50, 0,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,   -0.00,    53.23,    61.76,     1.78,   28.43,     2.08,   179.49,     8.53,     0.49,     7.30,   310.08,   729.09,   319.04,     1.04,    2.46,  211.33,  136.62,  332.65,   179.49,    62.02,   222.52,     0.00,     0.00,     1.59,    14.86,     0.38,     0.46,     0.54,  313.66,    0.56,  313.66,  247.93,    11.67,     4.24,    19.10,     0.54,     0.57,    87.54,   506.28,   418.74,   561.60,     0.44, 1140.50,  522.19,  618.31, 1140.50,     1.00,   229.52,     79.65,  287.19,  103.94
