Species, DayOfYear, Time, Lat, Long, Alt, SolRad, PFD, Temp, CO2, RH, Wind, LAI, ConstTemp, sifSunlit, sifShaded,ql_sunlit, ql_shaded, kdf_sunlit, kdf_shaded, PhiPS2_sunlit, PhiPS2_shaded, fesc, ANet, AGross, VPD, LeafTemp, BoundaryL_Conductance, InternalCO2, Respiration, StomatalConduct, Transpiration,J,sunlitPFD,shadedPFD,sunlitLAI,shadedLAI,GammaValue(gamma_C3 or GammaStar_C4), Gamma_C4,Cs_stomatalConductance, ci, AjLeaf,AcLeaf,AvLeaf,ApLeaf,Azimuth, DayLength, Declination, FracPARDiffuse, FracPARDirect, NIR,NIRFraction, NIRTotal, PAR ,SolarNoon, Sunrise, Sunset, SinElevation, SolarElevation,PotSolarDiffuse, PotSolarTotal, PotSolarDirect, MeasuredSolarRad, PARFraction,PFD, PFDDiffuse, PFDDirect, PFDTotal, Zenith, PotParDirect,PotParDiffuse, PotNIRDirect,PotNIRDiffuse
soybean,   170.31,     7.00,    41.16,   -96.47,   100.00,    93.18,   184.50,    21.05,   419.92,    98.70,     2.16,     1.14, 0,     0.06,     0.06,     0.71,     0.71,     9.50,     9.50,     0.83,     0.83,    1.37,     0.57,     1.31,     0.03,   21.68,     2.87,   392.35,     0.74,     0.03,     0.04,     5.79,   131.66,   131.66,     0.68,    0.46,   31.06,    0.00,  419.65,   392.35,     0.00,     0.00,     0.00,     0.00,    -1.66,    15.14,     0.41,     1.00,     0.00,   51.06,    0.56,   51.06,   40.11,    11.59,     4.02,    19.16,     0.51,     0.54,    86.67,   475.17,   388.50,    91.17,     0.44,  184.50,  184.50,    0.00,  184.50,     1.03,   214.50,     78.82,  270.04,  103.38
soybean,   170.35,     8.00,    41.16,   -96.47,   100.00,   105.51,   208.90,    22.23,   408.63,    96.20,     2.89,     1.14, 0,     0.13,     0.13,     0.70,     0.70,     9.50,     9.50,     0.83,     0.83,    1.41,     1.87,     2.69,     0.10,   22.83,     3.32,   361.22,     0.82,     0.06,     0.13,    12.25,   149.70,   149.70,     0.77,    0.37,   32.98,    0.00,  407.86,   361.22,     0.00,     0.00,     0.00,     0.00,    -1.49,    15.14,     0.41,     1.00,     0.00,   55.81,    0.55,   55.81,   45.41,    11.59,     4.02,    19.16,     0.67,     0.73,    92.06,   672.26,   580.19,   101.22,     0.45,  208.90,  208.90,    0.00,  208.90,     0.84,   305.67,     78.81,  373.82,   98.66
soybean,   170.40,     9.00,    41.16,   -96.47,   100.00,   201.97,   399.90,    22.93,   407.80,    93.00,     2.16,     1.15, 0,     0.10,     0.10,     0.65,     0.65,     9.50,     9.50,     0.83,     0.83,    1.17,     1.40,     2.33,     0.20,   24.25,     2.87,   364.12,     0.93,     0.05,     0.22,    10.75,   287.16,   287.16,     0.83,    0.31,   35.49,    0.00,  407.13,   364.12,     0.00,     0.00,     0.00,     0.00,    -1.28,    15.14,     0.41,     1.00,     0.00,  104.00,    0.54,  104.00,   86.93,    11.59,     4.02,    19.16,     0.80,     0.93,    95.09,   838.03,   742.93,   190.94,     0.46,  399.90,  399.90,    0.00,  399.90,     0.64,   381.85,     69.79,  460.33,   79.98
soybean,   170.44,    10.00,    41.16,   -96.47,   100.00,   629.34,  1246.10,    26.18,   405.89,    81.40,     1.02,     1.15, 0,     0.52,     0.52,     0.47,     0.53,     9.50,     9.50,     0.83,     0.83,    0.99,     7.71,     9.21,     0.63,   29.61,     1.97,   331.88,     1.50,     0.16,     2.28,    47.54,   830.45,   626.23,     0.87,    0.28,   46.32,    0.00,  400.53,   331.88,     0.00,     0.00,     0.00,     0.00,    -0.97,    15.14,     0.41,     0.68,     0.32,  317.86,    0.54,  317.86,  270.89,    11.59,     4.02,    19.16,     0.89,     1.11,    96.78,   958.31,   861.53,   588.75,     0.46, 1246.10,  843.20,  402.90, 1246.10,     0.47,   436.95,     58.28,  522.91,   58.18
soybean,   170.48,    11.00,    41.16,   -96.47,   100.00,   719.04,  1423.70,    29.05,   405.14,    75.80,     1.31,     1.16, 0,     0.70,     0.70,     0.45,     0.52,     9.50,     9.50,     0.83,     0.83,    1.34,     6.48,     8.38,     0.97,   32.35,     2.23,   329.57,     1.90,     0.13,     2.45,    45.50,   912.73,   653.74,     0.89,    0.26,   52.64,    0.00,  401.17,   329.57,     0.00,     0.00,     0.00,     0.00,    -0.44,    15.14,     0.41,     0.61,     0.39,  359.29,    0.54,  359.29,  309.50,    11.59,     4.02,    19.16,     0.94,     1.24,    97.57,  1023.62,   926.06,   668.79,     0.46, 1423.70,  871.47,  552.23, 1423.70,     0.34,   466.82,     50.30,  556.85,   43.46
soybean,   170.52,    12.00,    41.16,   -96.47,   100.00,   577.53,  1143.50,    28.78,   399.26,    74.80,     1.86,     1.16, 0,     1.17,     1.17,     0.49,     0.53,     9.50,     9.50,     0.83,     0.83,    1.42,    12.81,    14.45,     1.00,   30.55,     2.66,   317.21,     1.63,     0.23,     3.50,    76.60,   760.44,   621.82,     0.90,    0.26,   48.43,    0.00,  392.67,   317.21,     0.00,     0.00,     0.00,     0.00,     0.32,    15.14,     0.41,     0.74,     0.26,  288.32,    0.54,  288.32,  248.59,    11.59,     4.02,    19.16,     0.95,     1.25,    97.63,  1028.97,   931.35,   536.91,     0.46, 1143.50,  846.05,  297.45, 1143.50,     0.32,   469.27,     49.59,  559.63,   42.17
soybean,   170.56,    13.00,    41.16,   -96.47,   100.00,   265.61,   525.90,    27.68,   399.16,    76.00,     1.74,     1.17, 0,     0.37,     0.37,     0.62,     0.62,     9.50,     9.50,     0.83,     0.83,    1.34,     4.83,     6.25,     0.89,   28.98,     2.58,   328.68,     1.42,     0.10,     1.29,    31.62,   374.26,   367.94,     0.89,    0.28,   44.95,    0.00,  396.59,   328.68,     0.00,     0.00,     0.00,     0.00,     0.90,    15.14,     0.41,     0.98,     0.02,  133.81,    0.54,  133.81,  114.33,    11.59,     4.02,    19.16,     0.91,     1.13,    96.98,   973.96,   876.98,   248.13,     0.46,  525.90,  513.20,   12.70,  525.90,     0.44,   444.11,     56.47,  531.04,   54.84
soybean,   170.60,    14.00,    41.16,   -96.47,   100.00,   172.78,   342.10,    25.53,   393.69,    79.00,     2.58,     1.17, 0,     0.29,     0.29,     0.67,     0.67,     9.50,     9.50,     0.83,     0.83,    1.33,     4.48,     5.60,     0.69,   26.23,     3.14,   327.24,     1.12,     0.09,     0.89,    26.93,   244.05,   244.05,     0.86,    0.32,   39.25,    0.00,  391.73,   327.24,     0.00,     0.00,     0.00,     0.00,     1.24,    15.14,     0.41,     1.00,     0.00,   88.62,    0.54,   88.62,   74.37,    11.59,     4.02,    19.16,     0.82,     0.96,    95.47,   862.77,   767.30,   162.99,     0.46,  342.10,  342.10,    0.00,  342.10,     0.61,   393.19,     67.76,  473.21,   76.06
soybean,   170.65,    15.00,    41.16,   -96.47,   100.00,   131.41,   260.20,    25.67,   402.64,    82.70,     3.53,     1.18, 0,     0.14,     0.14,     0.69,     0.69,     9.50,     9.50,     0.83,     0.83,    1.36,     1.77,     2.89,     0.57,   26.25,     3.67,   351.90,     1.12,     0.05,     0.38,    13.51,   184.79,   184.79,     0.80,    0.37,   39.30,    0.00,  401.98,   351.90,     0.00,     0.00,     0.00,     0.00,     1.46,    15.14,     0.41,     1.00,     0.00,   69.15,    0.55,   69.15,   56.57,    11.59,     4.02,    19.16,     0.69,     0.77,    92.73,   704.10,   611.37,   125.71,     0.45,  260.20,  260.20,    0.00,  260.20,     0.80,   320.32,     77.70,  390.47,   96.10
soybean,   170.69,    16.00,    41.16,   -96.47,   100.00,    67.58,   133.80,    25.22,   402.65,    84.30,     3.73,     1.18, 0,     0.14,     0.14,     0.73,     0.73,     9.50,     9.50,     0.83,     0.83,    1.33,     1.90,     2.94,     0.50,   25.46,     3.77,   351.29,     1.04,     0.05,     0.32,    13.54,    94.40,    94.40,     0.72,    0.47,   37.77,    0.00,  401.96,   351.29,     0.00,     0.00,     0.00,     0.00,     1.64,    15.14,     0.41,     1.00,     0.00,   36.77,    0.56,   36.77,   29.09,    11.59,     4.02,    19.16,     0.54,     0.57,    87.87,   511.25,   423.38,    65.86,     0.44,  133.80,  133.80,    0.00,  133.80,     1.00,   231.26,     79.72,  289.16,  103.98
