Species, DayOfYear, Time, Lat, Long, Alt, SolRad, PFD, Temp, CO2, RH, Wind, LAI, ConstTemp, sifSunlit, sifShaded,ql_sunlit, ql_shaded, kdf_sunlit, kdf_shaded, PhiPS2_sunlit, PhiPS2_shaded, fesc, ANet, AGross, VPD, LeafTemp, BoundaryL_Conductance, InternalCO2, Respiration, StomatalConduct, Transpiration,J,sunlitPFD,shadedPFD,sunlitLAI,shadedLAI,GammaValue(gamma_C3 or GammaStar_C4), Gamma_C4,Cs_stomatalConductance, ci, AjLeaf,AcLeaf,AvLeaf,ApLeaf,Azimuth, DayLength, Declination, FracPARDiffuse, FracPARDirect, NIR,NIRFraction, NIRTotal, PAR ,SolarNoon, Sunrise, Sunset, SinElevation, SolarElevation,PotSolarDiffuse, PotSolarTotal, PotSolarDirect, MeasuredSolarRad, PARFraction,PFD, PFDDiffuse, PFDDirect, PFDTotal, Zenith, PotParDirect,PotParDiffuse, PotNIRDirect,PotNIRDiffuse
maize,   197.31,     7.00,    41.16,   -96.47,   100.00,   344.75,   682.60,    22.71,   496.20,    85.60,     1.22,     3.50, 0,     0.72,     0.72,     0.69,     0.77,     9.00,     9.00,     0.81,     0.81,    1.23,    20.67,    22.52,     0.40,   23.57,     1.69,   302.59,     1.85,     0.05,     0.92,    32.17,   293.68,   116.52,     0.96,    2.54,   67.85,  108.13,  479.49,   302.59,     0.00,     0.00,     0.00,     0.00,    -1.65,    14.86,     0.38,     0.74,     0.26,  190.36,    0.56,  190.36,  148.39,    11.67,     4.24,    19.10,     0.48,     0.50,    85.09,   436.87,   351.78,   338.75,     0.44,  682.60,  506.89,  175.71,  682.60,     1.07,   197.17,     77.45,  250.22,  102.06
maize,   197.35,     8.00,    41.16,   -96.47,   100.00,   521.52,  1032.60,    24.21,   406.20,    73.80,     1.16,     3.50, 0,     1.14,     1.14,     0.63,     0.75,     9.00,     9.00,     0.81,     0.81,    1.05,    37.62,    39.57,     0.79,   24.49,     1.65,   214.22,     1.95,     0.11,     2.57,    56.53,   445.13,   158.90,     1.17,    2.33,   91.07,  133.57,  375.00,   214.22,     0.00,     0.00,     0.00,     0.00,    -1.47,    14.86,     0.38,     0.65,     0.35,  277.41,    0.55,  277.41,  224.48,    11.67,     4.24,    19.10,     0.64,     0.70,    91.10,   637.30,   546.21,   501.89,     0.45, 1032.60,  675.89,  356.71, 1032.60,     0.87,   290.27,     79.65,  356.32,  100.82
maize,   197.40,     9.00,    41.16,   -96.47,   100.00,   660.25,  1307.30,    26.13,   381.94,    67.90,     0.98,     3.50, 0,     1.52,     1.52,     0.58,     0.74,     9.00,     9.00,     0.81,     0.81,    1.01,    50.37,    52.45,     1.09,   25.76,     1.52,   185.59,     2.08,     0.15,     4.01,    74.93,   561.58,   185.02,     1.30,    2.20,  108.50,  153.53,  336.50,   185.59,     0.00,     0.00,     0.00,     0.00,    -1.26,    14.86,     0.38,     0.59,     0.41,  341.53,    0.55,  341.53,  284.20,    11.67,     4.24,    19.10,     0.78,     0.89,    94.41,   807.83,   713.42,   625.73,     0.45, 1307.30,  771.64,  535.66, 1307.30,     0.68,   368.89,     71.89,  445.62,   84.09
maize,   197.44,    10.00,    41.16,   -96.47,   100.00,   885.66,  1753.60,    27.02,   371.84,    68.60,     1.72,     3.50, 0,     1.78,     1.78,     0.48,     0.74,     9.00,     9.00,     0.81,     0.81,    0.97,    58.03,    60.25,     1.12,   26.93,     2.01,   182.09,     2.22,     0.18,     5.21,    86.07,   875.75,   179.42,     1.38,    2.12,  119.00,  166.17,  332.32,   182.09,     0.00,     0.00,     0.00,     0.00,    -0.95,    14.86,     0.38,     0.39,     0.61,  448.95,    0.54,  448.95,  381.22,    11.67,     4.24,    19.10,     0.88,     1.07,    96.26,   933.47,   837.21,   830.17,     0.46, 1753.60,  686.49, 1067.11, 1753.60,     0.50,   426.62,     60.75,  511.17,   62.80
maize,   197.48,    11.00,    41.16,   -96.47,   100.00,   995.96,  1972.00,    27.97,   360.85,    66.90,     1.58,     3.50, 0,     1.99,     1.99,     0.43,     0.75,     9.00,     9.00,     0.81,     0.81,    0.96,    63.81,    66.12,     1.25,   27.71,     1.93,   172.05,     2.31,     0.20,     6.19,    94.46,  1051.89,   158.74,     1.41,    2.09,  126.90,  175.59,  315.51,   172.05,     0.00,     0.00,     0.00,     0.00,    -0.46,    14.86,     0.38,     0.28,     0.72,  499.06,    0.54,  499.06,  428.70,    11.67,     4.24,    19.10,     0.93,     1.20,    97.14,  1004.17,   907.04,   927.76,     0.46, 1972.00,  553.78, 1418.22, 1972.00,     0.37,   459.04,     52.49,  548.01,   47.49
maize,   197.52,    12.00,    41.16,   -96.47,   100.00,   921.36,  1824.30,    29.39,   363.34,    63.50,     1.95,     3.50, 0,     2.06,     2.06,     0.48,     0.74,     9.00,     9.00,     0.81,     0.81,    0.97,    66.63,    69.03,     1.49,   28.41,     2.14,   168.24,     2.40,     0.20,     6.68,    98.62,   881.97,   187.18,     1.42,    2.08,  130.77,  180.73,  320.72,   168.24,     0.00,     0.00,     0.00,     0.00,     0.24,    14.86,     0.38,     0.39,     0.61,  460.89,    0.54,  460.89,  396.59,    11.67,     4.24,    19.10,     0.94,     1.22,    97.26,  1014.50,   917.25,   857.48,     0.46, 1824.30,  715.67, 1108.63, 1824.30,     0.35,   463.78,     51.17,  553.39,   45.06
maize,   197.56,    13.00,    41.16,   -96.47,   100.00,   886.46,  1755.20,    29.75,   355.82,    58.50,     2.12,     3.50, 0,     2.13,     2.13,     0.49,     0.74,     9.00,     9.00,     0.81,     0.81,    1.00,    67.22,    69.61,     1.74,   28.34,     2.23,   155.64,     2.39,     0.19,     7.31,    99.44,   852.46,   185.63,     1.39,    2.11,  131.57,  181.45,  314.59,   155.64,     0.00,     0.00,     0.00,     0.00,     0.82,    14.86,     0.38,     0.41,     0.59,  447.16,    0.54,  447.16,  381.57,    11.67,     4.24,    19.10,     0.90,     1.12,    96.64,   963.68,   867.03,   828.72,     0.46, 1755.20,  717.13, 1038.07, 1755.20,     0.45,   440.48,     57.40,  526.91,   56.55
maize,   197.60,    14.00,    41.16,   -96.47,   100.00,   805.71,  1595.30,    29.54,   353.19,    56.40,     2.42,     3.50, 0,     2.14,     2.14,     0.51,     0.74,     9.00,     9.00,     0.81,     0.81,    1.05,    65.50,    67.85,     1.80,   28.02,     2.39,   150.09,     2.35,     0.18,     7.27,    96.92,   783.08,   180.23,     1.33,    2.17,  129.22,  178.49,  315.59,   150.09,     0.00,     0.00,     0.00,     0.00,     1.17,    14.86,     0.38,     0.45,     0.55,  413.59,    0.54,  413.59,  346.80,    11.67,     4.24,    19.10,     0.82,     0.95,    95.16,   855.58,   760.42,   760.39,     0.46, 1595.30,  711.44,  883.86, 1595.30,     0.62,   390.85,     68.19,  470.55,   76.89
maize,   197.65,    15.00,    41.16,   -96.47,   100.00,   749.39,  1483.80,    29.81,   356.32,    55.20,     2.27,     3.50, 0,     1.93,     1.93,     0.49,     0.75,     9.00,     9.00,     0.81,     0.81,    1.12,    55.72,    58.15,     1.88,   28.64,     2.31,   148.94,     2.43,     0.15,     6.72,    83.07,   834.81,   152.07,     1.22,    2.28,  115.83,  165.59,  323.29,   148.94,     0.00,     0.00,     0.00,     0.00,     1.41,    14.86,     0.38,     0.40,     0.60,  394.57,    0.55,  394.57,  322.57,    11.67,     4.24,    19.10,     0.69,     0.76,    92.43,   698.71,   606.28,   717.13,     0.45, 1483.80,  586.96,  896.84, 1483.80,     0.81,   318.62,     77.84,  388.54,   96.42
maize,   197.69,    16.00,    41.16,   -96.47,   100.00,   576.01,  1140.50,    29.13,   356.15,    55.80,     1.83,     3.50, 0,     1.47,     1.47,     0.53,     0.76,     9.00,     9.00,     0.81,     0.81,    1.20,    41.32,    43.72,     1.78,   28.40,     2.08,   151.58,     2.40,     0.11,     5.11,    62.46,   699.01,   129.85,     1.04,    2.46,   96.13,  144.74,  328.87,   151.58,     0.00,     0.00,     0.00,     0.00,     1.59,    14.86,     0.38,     0.46,     0.54,  313.66,    0.56,  313.66,  247.93,    11.67,     4.24,    19.10,     0.54,     0.57,    87.54,   506.28,   418.74,   561.60,     0.44, 1140.50,  522.19,  618.31, 1140.50,     1.00,   229.52,     79.65,  287.19,  103.94
