0.695754881,0.695754881,0.522764827,0.522764827,9,9,0.83,0.83,0.634741788,0.634741788,100
1.035766195,1.035766195,0.415898692,0.415898692,9,9,0.83,0.83,0.466726627,0.466726627,100
1.345582665,1.345582665,0.336321888,0.336321888,9,9,0.83,0.83,0.445193424,0.445193424,100
1.526792544,1.526792544,0.282982682,0.282982682,9,9,0.83,0.83,0.434976651,0.434976651,100
1.801146205,1.801146205,0.257952562,0.257952562,9,9,0.83,0.83,0.464192516,0.464192516,100
1.804463462,1.804463462,0.242035086,0.242035086,9,9,0.83,0.83,0.438742331,0.438742331,100
1.661602583,1.661602583,0.249670413,0.249670413,9,9,0.83,0.83,0.465353307,0.465353307,100
1.431684626,1.431684626,0.287076778,0.287076778,9,9,0.83,0.83,0.469526474,0.469526474,100
1.520966329,1.520966329,0.3284901,0.3284901,9,9,0.83,0.83,0.476318699,0.476318699,100
1.067863883,1.067863883,0.405676766,0.405676766,9,9,0.83,0.83,0.522193965,0.522193965,100
0.72561865,0.72561865,0.524612398,0.524612398,9,9,0.83,0.83,0.645742771,0.645742771,100
1.005603617,1.005603617,0.415479677,0.415479677,9,9,0.83,0.83,0.475113574,0.475113574,100
1.361444144,1.361444144,0.335729139,0.335729139,9,9,0.83,0.83,0.445781979,0.445781979,100
1.50841054,1.50841054,0.28244835,0.28244835,9,9,0.83,0.83,0.438799093,0.438799093,100
1.622935465,1.622935465,0.252295167,0.252295167,9,9,0.83,0.83,0.446919289,0.446919289,100
1.556150279,1.556150279,0.24237078,0.24237078,9,9,0.83,0.83,0.448439652,0.448439652,100
1.52670926,1.52670926,0.250663324,0.250663324,9,9,0.83,0.83,0.486840925,0.486840925,100
1.849267273,1.849267273,0.279017276,0.279017276,9,9,0.83,0.83,0.479817615,0.479817615,100
1.613206156,1.613206156,0.330836965,0.330836965,9,9,0.83,0.83,0.492190183,0.492190183,100
1.36879719,1.36879719,0.409322233,0.409322233,9,9,0.83,0.83,0.52924856,0.52924856,100
0.77010747,0.77010747,0.521252047,0.521252047,9,9,0.83,0.83,0.647063037,0.647063037,100
1.134173973,1.134173973,0.413000458,0.413000458,9,9,0.83,0.83,0.485265865,0.485265865,100
1.466824602,1.466824602,0.333620694,0.333620694,9,9,0.83,0.83,0.455746033,0.455746033,100
1.604991864,1.604991864,0.279968109,0.279968109,9,9,0.83,0.83,0.445539519,0.445539519,100
1.75642228,1.75642228,0.24989072,0.24989072,9,9,0.83,0.83,0.442752063,0.442752063,100
2.107585358,2.107585358,0.239094937,0.239094937,9,9,0.83,0.83,0.449356908,0.449356908,100
1.963877868,1.963877868,0.245660549,0.245660549,9,9,0.83,0.83,0.483231892,0.483231892,100
1.25427704,1.25427704,0.291872978,0.291872978,9,9,0.83,0.83,0.500559139,0.500559139,100
1.12879519,1.12879519,0.337149247,0.337149247,9,9,0.83,0.83,0.518096903,0.518096903,100
1.27322102,1.27322102,0.421119104,0.421119104,9,9,0.83,0.83,0.537054052,0.537054052,100
0.104866732,0.104866732,0.617398511,0.617398511,9,9,0.83,0.83,0.530635129,0.530635129,100
