Species, DayOfYear, Time, Lat, Long, Alt, SolRad, PFD, Temp, CO2, RH, Wind, LAI, ConstTemp, sifSunlit, sifShaded,ql_sunlit, ql_shaded, kdf_sunlit, kdf_shaded, PhiPS2_sunlit, PhiPS2_shaded, fesc, ANet, AGross, VPD, LeafTemp, BoundaryL_Conductance, InternalCO2, Respiration, StomatalConduct, Transpiration,J,sunlitPFD,shadedPFD,sunlitLAI,shadedLAI,GammaValue(gamma_C3 or GammaStar_C4), Gamma_C4,Cs_stomatalConductance, ci, AjLeaf,AcLeaf,AvLeaf,ApLeaf,Azimuth, DayLength, Declination, FracPARDiffuse, FracPARDirect, NIR,NIRFraction, NIRTotal, PAR ,SolarNoon, Sunrise, Sunset, SinElevation, SolarElevation,PotSolarDiffuse, PotSolarTotal, PotSolarDirect, MeasuredSolarRad, PARFraction,PFD, PFDDiffuse, PFDDirect, PFDTotal, Zenith, PotParDirect,PotParDiffuse, PotNIRDirect,PotNIRDiffuse
maize,   196.31,     7.00,    41.18,   -96.44,   100.00,   372.49,   733.80,    24.30,   485.85,    85.60,     1.96,     2.37, 0,     0.70,     0.70,     0.67,     0.76,     9.00,     9.00,     0.83,     0.83,    1.27,    18.35,    20.44,     0.44,   25.88,     2.15,   300.33,     2.10,     0.07,     1.15,    43.09,   472.72,   257.65,     0.90,    1.47,    0.00,    0.00,  474.15,   300.33,     0.00,     0.00,     0.00,     0.00,    -1.65,    14.88,     0.38,     0.71,     0.29,  204.57,    0.56,  204.57,  159.52,    11.67,     4.23,    19.11,     0.48,     0.50,    85.15,   438.51,   353.35,   364.09,     0.44,  733.80,  519.99,  213.81,  733.80,     1.07,   197.94,     77.52,  251.11,  102.14
maize,   196.35,     8.00,    41.18,   -96.44,   100.00,   556.75,  1096.80,    26.56,   438.63,    76.20,     2.66,     2.37, 0,     1.04,     1.04,     0.59,     0.73,     9.00,     9.00,     0.83,     0.83,    0.93,    35.57,    37.88,     0.83,   27.68,     2.50,   241.48,     2.31,     0.14,     3.02,    79.85,   678.34,   341.67,     1.06,    1.31,    0.00,    0.00,  419.15,   241.48,     0.00,     0.00,     0.00,     0.00,    -1.48,    14.88,     0.38,     0.62,     0.38,  294.59,    0.55,  294.59,  238.43,    11.67,     4.23,    19.11,     0.64,     0.70,    91.13,   638.73,   547.60,   533.02,     0.45, 1096.80,  676.67,  420.13, 1096.80,     0.87,   290.94,     79.62,  357.09,  100.73
maize,   196.40,     9.00,    41.18,   -96.44,   100.00,   727.87,  1433.90,    28.63,   406.69,    70.90,     2.90,     2.37, 0,     1.35,     1.35,     0.53,     0.71,     9.00,     9.00,     0.83,     0.83,    0.89,    45.52,    48.05,     1.14,   29.37,     2.61,   209.67,     2.52,     0.18,     4.75,   101.28,   869.24,   383.92,     1.15,    1.22,    0.00,    0.00,  382.81,   209.67,     0.00,     0.00,     0.00,     0.00,    -1.26,    14.88,     0.38,     0.52,     0.48,  374.53,    0.55,  374.53,  311.72,    11.67,     4.23,    19.11,     0.78,     0.89,    94.43,   809.06,   714.63,   686.25,     0.45, 1433.90,  742.96,  690.94, 1433.90,     0.68,   369.48,     71.80,  446.29,   83.92
maize,   196.44,    10.00,    41.18,   -96.44,   100.00,   867.01,  1708.00,    29.71,   391.54,    68.80,     2.92,     2.37, 0,     1.53,     1.53,     0.48,     0.71,     9.00,     9.00,     0.83,     0.83,    0.87,    50.61,    53.25,     1.30,   30.27,     2.62,   196.15,     2.64,     0.20,     5.83,   112.25,  1027.56,   383.77,     1.21,    1.17,    0.00,    0.00,  365.09,   196.15,     0.00,     0.00,     0.00,     0.00,    -0.96,    14.88,     0.38,     0.42,     0.58,  437.20,    0.54,  437.20,  371.30,    11.67,     4.23,    19.11,     0.88,     1.07,    96.27,   934.56,   838.29,   808.50,     0.46, 1708.00,  720.82,  987.18, 1708.00,     0.50,   427.13,     60.63,  511.76,   62.57
maize,   196.48,    11.00,    41.18,   -96.44,   100.00,   941.62,  1855.00,    30.56,   381.80,    63.40,     2.31,     2.37, 0,     1.80,     1.80,     0.46,     0.71,     9.00,     9.00,     0.83,     0.83,    0.93,    54.99,    57.69,     1.60,   30.71,     2.33,   179.04,     2.70,     0.22,     6.93,   121.61,  1109.98,   371.09,     1.23,    1.14,    0.00,    0.00,  349.49,   179.04,     0.00,     0.00,     0.00,     0.00,    -0.46,    14.88,     0.38,     0.37,     0.63,  469.37,    0.54,  469.37,  403.26,    11.67,     4.23,    19.11,     0.93,     1.20,    97.14,  1005.19,   908.05,   872.63,     0.46, 1855.00,  681.14, 1173.86, 1855.00,     0.37,   459.53,     52.36,  548.56,   47.24
maize,   196.52,    12.00,    41.18,   -96.44,   100.00,   992.94,  1956.10,    31.19,   377.92,    56.80,     2.87,     2.37, 0,     1.81,     1.81,     0.44,     0.73,     9.00,     9.00,     0.83,     0.83,    0.88,    58.04,    60.77,     1.96,   30.90,     2.60,   161.49,     2.73,     0.21,     7.91,   128.10,  1188.96,   333.52,     1.24,    1.14,    0.00,    0.00,  347.32,   161.49,     0.00,     0.00,     0.00,     0.00,     0.24,    14.88,     0.38,     0.30,     0.70,  494.11,    0.54,  494.11,  425.24,    11.67,     4.23,    19.11,     0.94,     1.22,    97.26,  1015.53,   918.27,   919.34,     0.46, 1956.10,  590.46, 1365.64, 1956.10,     0.35,   464.27,     51.03,  553.95,   44.80
maize,   196.56,    13.00,    41.18,   -96.44,   100.00,   967.92,  1906.80,    31.55,   375.72,    55.00,     2.59,     2.37, 0,     1.66,     1.66,     0.44,     0.73,     9.00,     9.00,     0.83,     0.83,    0.93,    50.42,    53.24,     2.09,   31.48,     2.47,   156.28,     2.81,     0.18,     7.44,   112.22,  1179.48,   325.13,     1.22,    1.15,    0.00,    0.00,  347.74,   156.28,     0.00,     0.00,     0.00,     0.00,     0.82,    14.88,     0.38,     0.30,     0.70,  485.69,    0.54,  485.69,  414.52,    11.67,     4.23,    19.11,     0.90,     1.12,    96.65,   964.79,   868.14,   900.21,     0.46, 1906.80,  576.05, 1330.75, 1906.80,     0.45,   441.01,     57.26,  527.52,   56.30
maize,   196.60,    14.00,    41.18,   -96.44,   100.00,   855.43,  1685.20,    31.77,   374.22,    53.80,     1.98,     2.37, 0,     1.43,     1.43,     0.47,     0.72,     9.00,     9.00,     0.83,     0.83,    0.94,    43.88,    46.74,     2.17,   31.80,     2.16,   153.50,     2.86,     0.15,     6.78,    98.53,  1056.27,   350.22,     1.18,    1.20,    0.00,    0.00,  346.37,   153.50,     0.00,     0.00,     0.00,     0.00,     1.17,    14.88,     0.38,     0.39,     0.61,  436.81,    0.54,  436.81,  366.35,    11.67,     4.23,    19.11,     0.82,     0.95,    95.18,   856.85,   761.67,   803.15,     0.46, 1685.20,  649.21, 1035.99, 1685.20,     0.62,   391.45,     68.08,  471.23,   76.68
maize,   196.65,    15.00,    41.18,   -96.44,   100.00,   746.85,  1471.30,    31.91,   375.81,    52.10,     2.07,     2.37, 0,     1.52,     1.52,     0.49,     0.73,     9.00,     9.00,     0.83,     0.83,    0.95,    48.21,    51.01,     2.27,   31.42,     2.21,   148.87,     2.81,     0.17,     7.10,   107.53,   982.37,   319.63,     1.10,    1.27,    0.00,    0.00,  345.89,   148.87,     0.00,     0.00,     0.00,     0.00,     1.41,    14.88,     0.38,     0.41,     0.59,  391.15,    0.55,  391.15,  319.85,    11.67,     4.23,    19.11,     0.69,     0.77,    92.45,   700.19,   607.73,   710.99,     0.45, 1471.30,  599.66,  871.64, 1471.30,     0.81,   319.32,     77.79,  389.33,   96.29
maize,   196.69,    16.00,    41.18,   -96.44,   100.00,   576.80,  1136.30,    31.76,   377.08,    52.00,     1.66,     2.37, 0,     1.07,     1.07,     0.54,     0.75,     9.00,     9.00,     0.83,     0.83,    1.04,    32.11,    34.99,     2.25,   31.93,     1.98,   151.32,     2.88,     0.11,     5.14,    73.76,   833.42,   274.30,     0.97,    1.41,    0.00,    0.00,  354.82,   151.32,     0.00,     0.00,     0.00,     0.00,     1.59,    14.88,     0.38,     0.46,     0.54,  312.40,    0.56,  312.40,  247.02,    11.67,     4.23,    19.11,     0.54,     0.57,    87.59,   507.99,   420.40,   559.43,     0.44, 1136.30,  527.63,  608.67, 1136.30,     1.00,   230.32,     79.68,  288.10,  103.96
